title,summary,topics,platform,tags,organizing-org,link-to-source,link-to-live-product,main-poc,link-to-community,license,contributor-guides,documentation
2019-nCoV Data Repository by Johns Hopkins CSSE,This is the data repository for the 2019 Novel Coronavirus Visual Dashboard operated by the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE). It is also supported by the ESRI Living Atlas Team and the Johns Hopkins University Applied Physics Lab (JHU APL).,Tracking,Raw Data,"Cases, Maps, Statistics",Johns Hopkins University,https://github.com/CSSEGISandData/COVID-19,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,jhusystems@gmail.com,,Custom,No,No
Aarogya Setu,"Aarogya Setu is a mobile application developed by the Government of India to connect essential health services with the people of India in our combined fight against COVID-19. The app is aimed at augmenting the initiatives of the Government of India, particularly the Department of Health, in proactively reaching out to and informing the users of the app regarding risks, best practices and relevant advisories pertaining to the containment of COVID-19.",Tracking,,Cases,The Government of India's Ministry of Electronics and Information Technology,https://github.com/nic-delhi/AarogyaSetu_Android,https://www.aarogyasetu.gov.in/,support.aarogyasetu@nic.in,,Apache-2.0,No,Yes
California Coronavirus (COVID-19) Response,"COVID19.CA.gov is designed to answer questions and present actionable and real-time information. It provides a single source of truth for people looking for information about COVID-19 developments and response in California, while providing links back to relevant department websites.",Information,Informational Content,"FAQs, Symptoms, Testing, Benefits",The State of California,https://covid19.ca.gov/,https://github.com/cagov/covid19,covid19@alpha.ca.gov,,None,No,No
Care,"Care is a single point to link hospitals, Corona Care Centers and volunteers to the unified Corona Safe Network so that the Kerala Chief Minister's Office has direct access to live reports of hospital admittances to prevent overloading the healthcare system capacity.",Health,,"Cases, Medical equipment",Kerala State Disaster Management Authority,https://github.com/coronasafe/care,https://care.coronasafe.network/,,slack.coronasafe.in,MIT,Yes,Yes
Cares Act Dashboard,A free suite of tools to help states manage and account for how they spend coronavirus stimulus grants. It was originally deployed in Rhode Island and is now being deployed in Ohio and several other states.,Information,,Benefits,US Digital Response,https://github.com/usdigitalresponse/ricares,https://blissful-hawking-3e647b.netlify.app/,dave@hangar.is,,Apache,No,No
CDC COVID-19 Health Bot,"This project collects automated screening protocols and self-checker algorithms from organizations implementing CDC screening protocols in interactive web sites, chat bots, and other technology.",Research,Web App,"Cases, Self-assessment",Center for Disease Control,https://github.com/CDCgov/covid19healthbot,,,,Apache-2.0,No,No
Common Forms Toolkit (COMFORT),"COMFORT is an opinionated toolkit approach to designing and managing multi-tenanted forms. The Government of British Columbia is using this software to create screening forms that protect employees, contractors, and employers by ensuring a safe workplace and demonstrating proof of an Infection Prevention Control protocol (IPCP).",Community,,Screening,Government of British Columbia,https://github.com/bcgov/common-forms-toolkit,https://silviculture-ipc-dev.pathfinder.gov.bc.ca/app/#/home,,,Apache-2.0,Yes,Yes
"CommonCircle (formerly ""CovidSafe"")","Doctors and researchers at the University of Washington, in partnership with Microsoft volunteers and the Office of Governor Jay Inslee, are developing a tool to alert residents about highly relevant public health announcements, potential exposure to COVID-19, and to assist public health officials and contact tracing teams without compromising personal privacy. It utilizes the Google/Apple Exposure Notification API.",Tracking,,"Cases, Notifications",University of Washington,https://github.com/CovidSafe,https://covidsafe.cs.washington.edu/,covidsafe@uw.edu,,MIT,No,Yes
Community Health Toolkit,"The Community Health Toolkit is a global public good that includes open-source technologies for CHWs and supervisors; open-access resources; and a community of practice to advance UHC. The Community Health Toolkit can support Covid-19 response through community & event-based surveillance (currently deployed with MoH Kenya for non-Covid-19 cases), case-finding & contact tracing, SMS/USSD check-ins by self-quarantined persons, educational messaging including protective measures for CHWs & communities, referrals & treatment adherence, and data harmonization with other platforms.",Health,,"Cases, Statistics",Medic Mobile,https://github.com/medic/cht-core,https://medicmobile.org/tools,,https://forum.communityhealthtoolkit.org/,AGPL-3.0,Yes,Yes
Corona-Warn-App,The Corona-Warn-App is an app that helps trace infection chains of SARS-CoV-2 (which can cause COVID-19) in Germany. The app is based on technologies with a decentralized approach and notifies users if they have been exposed to SARS-CoV-2. Transparency is key to both protect the app's end-users and to encourage adoption. Based on the DP-3T and TCN privacy protocols.,Tracking,,"Cases, Stastics",Deutsche Telekom and SAP,https://github.com/corona-warn-app,https://coronawarn.app,corona-warn-app.opensource@sap.com,https://www.coronawarn.app/en/community/,Apache-2.0,Yes,Yes
